city,lat,lng,country,date,maxtemp,humidity,cloudiness,windspeed
chuy,-33.69,-53.46,UY,1544318803,65.33,57,0,14.58
punta arenas,-53.16,-70.91,CL,1544317200,50.0,61,75,18.34
san cristobal,-0.39,-78.55,EC,1544317200,55.4,100,40,4.7
ushuaia,-54.81,-68.31,AR,1544317200,48.2,61,75,23.04
nizhniy kuranakh,58.84,125.49,RU,1544318804,-19.32,80,64,3.51
petropavlovsk-kamchatskiy,53.05,158.65,RU,1544317200,12.2,66,12,8.95
redwater,53.95,-113.11,CA,1544317200,19.4,62,1,9.17
acapulco,16.86,-99.88,MX,1544316600,82.4,78,5,5.82
bethel,60.79,-161.76,US,1544317620,24.98,92,90,10.29
gobabis,-22.45,18.97,NA,1544318806,60.61,25,0,13.24
vardo,39.62,-77.74,US,1544318100,30.2,60,1,3.85
jamestown,-33.21,138.6,AU,1544318807,86.57,38,64,4.63
victor harbor,-35.55,138.62,AU,1544317200,71.6,68,0,11.41
kapaa,22.08,-159.32,US,1544316960,80.96,55,75,21.92
tomatlan,19.93,-105.25,MX,1544318807,79.69,70,0,2.62
port alfred,-33.59,26.89,ZA,1544325083,63.62,100,68,10.09
rikitea,-23.12,-134.97,PF,1544325520,78.11,99,88,13.22
cairns,-16.92,145.77,AU,1544325000,75.2,94,90,11.41
marshall,39.39,-87.69,US,1544324100,26.06,84,1,6.93
gisborne,-38.66,178.02,NZ,1544325526,70.68,59,0,6.06
torbay,47.66,-52.73,CA,1544323680,26.6,100,90,16.11
sabang,13.72,123.58,PH,1544325584,82.52,90,56,12.1
leningradskiy,69.38,178.42,RU,1544325560,1.38,100,44,14.0
glenwood springs,39.55,-107.33,US,1544322600,19.4,92,90,5.82
sao filipe,14.9,-24.5,CV,1544325585,75.14,98,0,10.65
cockburn town,21.46,-71.14,TC,1544325585,80.27,100,20,19.93
bilma,18.69,12.92,NE,1544325585,48.72,56,0,10.76
hobart,-42.88,147.33,AU,1544322600,62.6,59,75,9.17
tasiilaq,65.61,-37.64,GL,1544323800,17.6,52,36,4.7
hermanus,-34.42,19.24,ZA,1544325536,48.14,100,12,2.82
pevek,69.7,170.27,RU,1544325586,-9.2,84,8,8.3
ossora,59.24,163.07,RU,1544325586,0.44,93,12,8.75
lebu,8.96,38.73,ET,1544325553,43.59,86,24,2.59
stepnyak,52.83,70.79,KZ,1544325586,-4.52,66,0,9.19
busselton,-33.64,115.35,AU,1544325087,72.21,80,0,11.77
namibe,-15.19,12.15,AO,1544325587,69.47,100,0,3.15
touros,-5.2,-35.46,BR,1544324400,80.6,83,40,4.7
flin flon,54.77,-101.88,CA,1544325587,8.76,77,56,6.06
new norfolk,-42.78,147.06,AU,1544324400,62.6,59,75,9.17
qaanaaq,77.48,-69.36,GL,1544325087,-4.56,92,32,8.41
east london,-33.02,27.91,ZA,1544324400,62.6,82,90,8.05
bluff,-23.58,149.07,AU,1544325531,75.95,66,92,15.46
saint-philippe,45.36,-73.48,CA,1544325060,15.8,85,1,3.36
bambous virieux,-20.34,57.76,MU,1544324400,78.8,83,75,10.29
barrow,-38.31,-60.23,AR,1544325588,77.57,34,32,18.81
mataura,-46.19,168.86,NZ,1544325522,62.49,95,92,11.43
cape town,-33.93,18.42,ZA,1544320800,59.0,82,0,8.05
kodiak,39.95,-94.76,US,1544324100,26.6,80,1,4.7
te anau,-45.41,167.72,NZ,1544325589,64.7,65,64,7.29
hilo,19.71,-155.08,US,1544323980,78.08,64,20,10.29
garbolovo,60.34,30.5,RU,1544324400,28.4,86,90,8.95
luderitz,-26.65,15.16,NA,1544325562,57.14,82,0,20.04
bibiani,6.45,-2.31,GH,1544325590,75.14,84,8,7.96
codrington,-28.95,153.24,AU,1544324400,86.0,51,75,9.17
vila velha,-3.71,-38.6,BR,1544324400,82.4,78,40,4.7
kununurra,-15.77,128.74,AU,1544324400,98.6,47,12,8.05
mahebourg,-20.41,57.7,MU,1544324400,78.8,83,75,10.29
ponta do sol,-20.63,-46.0,BR,1544325863,61.64,72,0,12.66
imbituba,-28.24,-48.67,BR,1544324400,64.4,77,75,12.44
poum,41.28,20.71,MK,1544324400,39.2,86,90,5.82
khorixas,-20.37,14.96,NA,1544325863,42.78,86,0,2.82
sarandi,-27.94,-52.92,BR,1544325639,59.3,47,0,13.11
tuktoyaktuk,69.44,-133.03,CA,1544324400,3.2,84,90,14.99
ngunguru,-35.62,174.5,NZ,1544325633,71.31,72,0,15.9
simbahan,6.3,120.58,PH,1544325864,85.62,96,0,4.83
slantsy,59.12,28.09,RU,1544325864,37.38,95,92,8.41
tezu,27.93,96.16,IN,1544325865,56.82,48,0,1.7
ballina,54.11,-9.15,IE,1544325865,46.52,99,92,20.83
klin,56.34,36.74,RU,1544324400,23.0,92,90,8.95
cayenne,4.94,-52.33,GF,1544324400,73.4,94,40,1.12
aviles,43.55,-5.92,ES,1544324400,55.4,76,8,10.29
bredasdorp,-34.53,20.04,ZA,1544324400,57.2,82,92,3.36
paralia,40.27,22.6,GR,1544322000,41.0,93,20,3.36
sangar,63.92,127.47,RU,1544325866,-38.67,0,44,3.49
atbasar,51.81,68.36,KZ,1544325605,-15.81,69,0,4.72
kuruman,-27.46,23.43,ZA,1544325866,52.41,26,0,8.63
kalat,29.03,66.58,PK,1544325867,30.09,86,44,3.6
aklavik,68.22,-135.01,CA,1544324400,1.4,84,75,4.7
whitehorse,60.72,-135.06,CA,1544324400,35.6,64,75,21.92
mehamn,71.03,27.85,NO,1544325867,9.8,100,8,6.4
gizo,31.8,34.94,IL,1544323800,57.2,82,75,4.7
lingao,19.91,109.69,CN,1544325868,65.46,100,92,16.24
chukhloma,58.76,42.68,RU,1544325868,14.34,89,68,9.64
freeport,26.54,-78.7,BS,1544325869,72.89,100,100,15.9
longyearbyen,78.22,15.63,NO,1544323800,26.6,58,40,13.87
chokurdakh,70.62,147.9,RU,1544325869,-31.61,0,36,4.38
albany,42.65,-73.75,US,1544324220,24.98,68,20,9.17
aurdal,60.92,9.42,NO,1544325870,18.12,87,92,2.48
lorengau,-2.02,147.27,PG,1544325801,83.87,100,76,8.86
veinticinco de mayo,-27.38,-54.75,AR,1544325870,61.64,65,0,7.18
hithadhoo,-0.6,73.08,MV,1544325870,82.38,100,48,4.38
yellowknife,62.45,-114.38,CA,1544324400,10.4,92,20,2.24
colquechaca,-18.7,-66.0,BO,1544326317,47.06,65,68,1.7
fortuna,38.18,-1.13,ES,1544324400,51.8,76,0,6.93
altay,47.83,88.13,CN,1544326318,-25.26,0,0,1.81
khuzdar,27.8,66.62,PK,1544326318,38.51,81,0,1.59
kaitangata,-46.28,169.85,NZ,1544326318,62.9,89,92,13.56
arkhangelskaya,45.68,40.28,RU,1544326319,23.21,77,0,3.71
pisco,-13.71,-76.2,PE,1544324400,68.0,82,0,9.17
rio grande,-32.03,-52.1,BR,1544326319,64.56,90,0,16.8
iskateley,67.68,53.15,RU,1544326319,19.16,82,76,18.03
benjamin constant,-4.38,-70.03,BR,1544324400,77.0,100,75,3.15
garmsar,35.22,52.34,IR,1544326320,30.77,78,0,2.04
paamiut,61.99,-49.67,GL,1544326320,27.93,100,48,14.0
les cayes,18.19,-73.75,HT,1544326268,79.82,100,0,10.09
duluth,46.77,-92.13,US,1544325300,24.8,83,90,6.93
port elizabeth,39.31,-74.98,US,1544324160,33.08,84,1,5.82
vaini,15.34,74.49,IN,1544324400,75.2,83,20,3.15
georgetown,6.8,-58.16,GY,1544324400,73.4,94,0,4.7
wenling,28.38,121.38,CN,1544326322,46.52,100,92,14.34
butaritari,3.07,172.79,KI,1544326322,85.67,100,12,4.61
columbus,32.46,-84.99,US,1544324100,44.6,92,90,13.87
kita,35.76,139.74,JP,1544324400,50.0,39,75,9.17
palmer,-34.85,139.16,AU,1544324400,77.0,57,0,16.11
galle,29.74,-97.91,US,1544324160,45.5,78,20,10.29
arraial do cabo,-22.97,-42.02,BR,1544326295,69.65,99,20,6.06
victoria,5.28,115.24,BN,1544324400,89.6,74,75,3.36
kavarskas,55.43,24.93,LT,1544326324,35.45,95,80,15.68
mayo,63.59,-135.9,CA,1544324400,28.4,74,90,10.29
dingle,11.0,122.67,PH,1544326324,83.37,74,36,13.22
hasaki,35.73,140.83,JP,1544324400,46.4,45,75,9.17
naron,43.52,-8.15,ES,1544324400,53.6,93,12,4.7
new bern,35.11,-77.04,US,1544324400,44.96,72,90,10.29
mar del plata,-46.43,-67.52,AR,1544326325,74.46,35,92,12.1
caracuaro,19.01,-101.13,MX,1544326325,57.86,86,0,1.36
green river,41.53,-109.47,US,1544324040,23.0,77,1,9.17
manjacaze,-24.71,33.88,MZ,1544326326,71.72,100,92,4.72
bagdarin,54.44,113.59,RU,1544326326,-22.47,29,0,3.04
naantali,60.45,22.03,FI,1544325600,41.0,100,92,16.11
yar-sale,66.83,70.83,RU,1544326326,14.16,92,68,3.38
auki,12.18,6.51,NG,1544326327,58.08,47,0,6.06
salalah,17.01,54.1,OM,1544323800,69.8,46,20,5.82
kyabe,9.45,18.94,TD,1544326327,64.61,56,0,4.16
avarua,-21.21,-159.78,CK,1544324400,80.6,88,90,13.87
plettenberg bay,-34.05,23.37,ZA,1544326361,60.78,100,56,10.42
provideniya,64.42,-173.23,RU,1544326361,16.91,100,20,20.49
visby,57.64,18.3,SE,1544323800,44.6,87,76,25.28
gambo,11.96,9.63,NG,1544326362,57.32,52,0,5.95
haines junction,60.75,-137.51,CA,1544326362,31.53,75,88,7.07
beira,43.2,-8.36,ES,1544324400,53.6,93,92,4.7
kruisfontein,-34.0,24.73,ZA,1544326363,58.89,91,20,9.08
inhambane,-23.87,35.38,MZ,1544326363,79.32,93,92,7.74
bathsheba,13.22,-59.52,BB,1544324400,78.8,61,20,18.34
saldanha,41.42,-6.55,PT,1544326363,28.7,81,0,1.03
coahuayana,18.62,-100.35,MX,1544326364,63.03,84,8,2.15
upernavik,72.79,-56.15,GL,1544326364,8.94,100,64,10.09
mokhsogollokh,61.4,128.95,RU,1544326364,-17.52,76,80,4.72
meulaboh,4.14,96.13,ID,1544326364,81.93,100,0,3.6
nangomba,-10.9,38.52,TZ,1544326365,73.25,88,12,3.71
vao,59.1,26.19,EE,1544326365,36.12,95,68,12.33
champerico,16.38,-93.6,MX,1544323440,69.8,73,5,4.7
kahului,20.89,-156.47,US,1544324700,77.0,73,40,16.11
champaign,40.12,-88.24,US,1544324160,21.02,84,1,10.29
ostersund,63.18,14.64,SE,1544323800,28.4,92,88,8.05
araouane,18.9,-3.53,ML,1544326366,50.07,41,0,7.07
atar,20.52,-13.05,MR,1544326397,54.89,41,0,7.29
castro,-42.48,-73.76,CL,1544324400,53.6,100,90,9.17
hofn,64.25,-15.21,IS,1544326397,31.71,100,0,13.67
la palma,5.36,-74.39,CO,1544326398,64.25,100,32,2.15
murovani kurylivtsi,48.71,27.54,UA,1544326398,33.96,96,44,4.83
broome,52.47,1.45,GB,1544325600,47.48,81,76,20.8
laguna,27.52,-110.01,MX,1544326399,57.86,87,0,4.5
praia da vitoria,38.73,-27.07,PT,1544324400,62.6,88,0,17.13
grindavik,63.84,-22.43,IS,1544324400,33.8,80,90,5.82
urubamba,-13.31,-72.12,PE,1544324400,48.2,61,24,1.36
aneho,6.23,1.6,TG,1544324400,80.6,94,20,3.36
san juan,14.6,121.03,PH,1544324400,87.8,55,75,5.82
hailun,47.46,126.97,CN,1544326401,-2.54,49,0,6.73
cabo san lucas,22.89,-109.91,MX,1544323380,68.0,82,5,5.82
utiel,39.57,-1.21,ES,1544324400,44.6,93,0,2.24
lardos,36.09,28.02,GR,1544325600,57.2,67,40,3.36
nome,30.04,-94.42,US,1544325300,46.22,81,90,13.87
kegums,56.75,24.72,LV,1544323800,37.4,93,90,17.22
daru,7.99,-10.85,SL,1544326402,70.19,81,0,2.26
baykit,61.68,96.39,RU,1544326402,-20.09,84,56,2.93
shingu,33.72,135.99,JP,1544324400,46.4,49,75,16.11
husavik,50.56,-96.99,CA,1544326403,0.26,74,0,7.63
port maria,18.37,-76.89,JM,1544324400,80.6,61,20,3.36
manzhouli,49.6,117.43,CN,1544326404,-5.91,53,0,3.15
rasht,37.28,49.58,IR,1544324400,53.6,93,75,4.7
dikson,73.51,80.55,RU,1544326404,15.24,97,76,31.12
barreiras,-12.14,-45.0,BR,1544326404,66.99,99,88,2.59
chingirlau,51.09,54.08,KZ,1544326405,21.72,90,92,5.61
puerto ayora,-0.74,-90.35,EC,1544326405,72.44,100,24,8.75
katobu,-4.94,122.53,ID,1544326516,89.09,78,32,5.39
gamboula,4.12,15.14,CF,1544326516,68.07,93,24,5.84
ozernovskiy,51.5,156.52,RU,1544326516,26.94,100,64,3.71
singaraja,-8.11,115.08,ID,1544326516,80.0,90,88,1.92
katangli,51.71,143.23,RU,1544326517,9.03,100,88,17.81
sorland,67.67,12.69,NO,1544326517,39.95,100,48,25.3
nantucket,41.28,-70.1,US,1544324160,28.04,36,1,12.75
antsohihy,-14.88,47.99,MG,1544326517,72.48,97,8,4.38
nanortalik,60.14,-45.24,GL,1544326517,26.67,92,56,13.78
oga,8.18,5.65,NG,1544326518,72.39,70,48,7.63
mtambile,-5.38,39.7,TZ,1544326518,81.62,100,76,3.6
chuari khas,32.43,76.02,IN,1544326518,38.15,56,20,1.92
tiksi,71.64,128.87,RU,1544326518,-38.9,0,24,3.15
amahai,-3.31,129.0,ID,1544326519,86.34,99,12,8.63
fare,-16.7,-151.02,PF,1544326519,80.09,100,92,15.35
necochea,-38.55,-58.74,AR,1544326519,72.26,50,8,17.81
acurenam,1.03,10.67,GA,1544326519,67.67,98,92,1.7
roald,62.58,6.12,NO,1544325600,37.4,93,92,9.17
xining,36.62,101.77,CN,1544326238,25.19,31,8,2.93
okhotsk,59.36,143.24,RU,1544326520,9.8,100,8,6.73
port-cartier,50.03,-66.88,CA,1544324400,6.8,60,90,4.7
warwick,41.7,-71.42,US,1544324160,26.96,56,20,4.7
teguise,29.06,-13.56,ES,1544324400,60.8,93,0,8.05
liverpool,53.41,-2.98,GB,1544325600,48.2,87,75,19.46
lagoa,37.14,-8.45,PT,1544324400,53.6,76,0,3.36
umba,66.69,34.34,RU,1544326521,29.37,94,92,13.33
kavieng,-2.57,150.8,PG,1544326522,84.09,100,44,6.62
walvis bay,-22.95,14.51,NA,1544324400,55.4,93,90,3.36
nikolskoye,59.7,30.79,RU,1544324400,28.4,86,90,8.95
kokoda,-8.88,147.74,PG,1544326575,74.6,80,20,0.69
maniitsoq,65.42,-52.9,GL,1544326575,8.31,100,0,6.62
airai,-8.93,125.41,TL,1544326575,80.31,86,24,2.04
tuatapere,-46.13,167.69,NZ,1544326575,61.77,85,80,10.42
bereda,43.27,-7.54,ES,1544324400,53.6,93,64,4.7
hamilton,32.3,-64.78,BM,1544324100,64.4,68,90,13.87
boralday,43.36,76.86,KZ,1544324400,26.6,86,90,2.24
kharp,66.82,65.8,RU,1544326576,-0.69,56,20,3.04
hambantota,6.12,81.12,LK,1544321400,77.0,100,90,5.17
mersing,2.43,103.84,MY,1544326577,83.37,94,80,4.83
silopi,37.25,42.47,IQ,1544326577,43.68,100,92,2.93
tocopilla,-22.09,-70.2,CL,1544326578,59.43,95,64,4.72
